customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureCategory,ChargeCategory,ContractSegment,EstimatedCLV,NumServices,SeniorLabel,HasFamily,RevenueLostIfChurned,CohortMonth,RiskScore,CustomerSegment
CUST-00001,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.06,754.68,0,25-48 mo,Low (<$35),Mid-Term,781.56,2,Non-Senior,0,0.0,2020-12,1,Loyal
CUST-00002,Female,1,No,No,39,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),77.09,3005.05,1,25-48 mo,High ($65-$95),Mid-Term,3083.6000000000004,5,Senior,0,77.09,2019-10,3,Loyal
CUST-00003,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,88.94,1945.76,1,13-24 mo,High ($65-$95),Mid-Term,2045.62,4,Non-Senior,0,88.94,2021-03,3,Loyal
CUST-00004,Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.5,431.36,0,0-12 mo,Low (<$35),Short-Term,448.5,2,Non-Senior,1,0.0,2022-01,5,Medium Risk
CUST-00005,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),90.28,2910.02,1,25-48 mo,High ($65-$95),Mid-Term,2979.2400000000002,4,Non-Senior,1,90.28,2020-05,3,Loyal
CUST-00006,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),119.0,476.59,0,0-12 mo,Premium (>$95),Short-Term,595.0,8,Senior,1,0.0,2022-09,6,High Risk
CUST-00007,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.11,1899.62,1,13-24 mo,High ($65-$95),Short-Term,1976.31,5,Non-Senior,1,94.11,2021-05,5,Medium Risk
CUST-00008,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),94.38,2162.98,0,13-24 mo,High ($65-$95),Mid-Term,2265.12,5,Non-Senior,1,0.0,2021-02,2,Loyal
CUST-00009,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,101.66,293.66,1,0-12 mo,Premium (>$95),Short-Term,406.64,4,Non-Senior,1,101.66,2022-10,8,High Risk
CUST-00010,Female,0,Yes,Yes,20,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.7,587.04,1,13-24 mo,Low (<$35),Short-Term,623.6999999999999,1,Non-Senior,1,29.7,2021-05,3,Loyal
