customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.06,754.68,No
CUST-00002,Female,1,No,No,39,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),77.09,3005.05,Yes
CUST-00003,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,88.94,1945.76,Yes
CUST-00004,Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.5,431.36,No
CUST-00005,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),90.28,2910.02,Yes
CUST-00006,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),119.0,476.59,No
CUST-00007,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.11,1899.62,Yes
CUST-00008,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),94.38,2162.98,No
CUST-00009,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,101.66,293.66,Yes
CUST-00010,Female,0,Yes,Yes,20,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.7,587.04,Yes
CUST-00011,Male,0,Yes,Yes,9,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.78,268.86,Yes
CUST-00012,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),109.18,7637.05,No
CUST-00013,Male,0,No,No,17,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,66.66,1126.78,Yes
CUST-00014,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.64,627.81,Yes
CUST-00015,Female,0,Yes,No,13,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,79.0,1035.28,Yes
CUST-00016,Male,0,Yes,No,1,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,91.42,94.88,Yes
CUST-00017,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,97.52,2821.46,Yes
CUST-00018,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,85.3,5107.01,No
CUST-00019,Female,1,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,78.37,3278.65,Yes
CUST-00020,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.15,861.39,No
CUST-00021,Female,1,Yes,No,63,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),62.64,3945.95,No
CUST-00022,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,84.49,1939.72,Yes
CUST-00023,Female,0,Yes,Yes,27,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,50.24,1352.2,Yes
CUST-00024,Female,1,Yes,No,44,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),83.96,3703.08,No
CUST-00025,Female,0,No,No,46,Yes,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,77.44,3579.2,No
CUST-00026,Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.35,1567.51,No
CUST-00027,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.81,773.61,No
CUST-00028,Female,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,69.92,1201.26,Yes
CUST-00029,Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,92.69,3611.34,No
CUST-00030,Female,0,No,No,42,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,97.58,4104.34,No
CUST-00031,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),98.4,1755.89,Yes
CUST-00032,Male,0,Yes,No,57,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,69.81,3977.99,No
CUST-00033,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,97.98,374.73,Yes
CUST-00034,Female,0,No,No,39,Yes,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,53.74,2091.58,No
CUST-00035,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,77.09,4562.76,No
CUST-00036,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.38,638.69,No
CUST-00037,Female,1,Yes,Yes,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,99.6,4292.02,No
CUST-00038,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.1,1505.23,No
CUST-00039,Male,1,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),96.77,1735.97,No
CUST-00040,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.88,428.36,No
CUST-00041,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.66,119.54,Yes
CUST-00042,Male,0,Yes,Yes,28,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.28,1899.68,No
CUST-00043,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.15,758.73,Yes
CUST-00044,Female,0,Yes,Yes,15,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.59,1196.25,No
CUST-00045,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),94.46,4997.01,No
CUST-00046,Female,0,No,No,59,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,87.9,5190.38,No
CUST-00047,Female,1,No,No,5,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.75,408.58,Yes
CUST-00048,Male,0,Yes,No,19,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),119.0,2251.6,No
CUST-00049,Female,0,No,No,63,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),74.34,4697.4,No
CUST-00050,Female,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),101.44,1718.71,Yes
CUST-00051,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),115.26,2780.2,Yes
CUST-00052,Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.69,1303.23,No
CUST-00053,Male,0,Yes,Yes,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.39,460.83,No
CUST-00054,Female,1,No,No,28,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.44,2034.95,No
CUST-00055,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.72,342.31,Yes
CUST-00056,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,109.84,1980.43,No
CUST-00057,Female,0,Yes,Yes,24,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,76.78,1848.67,Yes
CUST-00058,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,92.86,3243.03,No
CUST-00059,Male,0,No,No,14,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),63.7,897.79,No
CUST-00060,Male,0,Yes,No,16,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,66.48,1077.85,Yes
CUST-00061,Male,0,Yes,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,659.06,No
CUST-00062,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.73,997.56,Yes
CUST-00063,Male,0,No,No,2,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),70.64,143.25,No
CUST-00064,Male,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,104.02,7073.92,No
CUST-00065,Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,91.34,1194.14,Yes
CUST-00066,Female,0,No,No,26,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),95.36,2483.64,No
CUST-00067,Female,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.57,503.44,No
CUST-00068,Male,1,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),93.68,3361.86,No
CUST-00069,Female,1,Yes,No,13,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.94,857.53,Yes
CUST-00070,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,119.0,481.86,No
CUST-00071,Female,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.8,711.21,No
CUST-00072,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.16,59.5,No
CUST-00073,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.26,514.66,Yes
CUST-00074,Female,1,No,No,38,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,101.21,3847.96,Yes
CUST-00075,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),30.32,485.23,No
CUST-00076,Female,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),89.88,2325.02,Yes
CUST-00077,Female,1,Yes,No,1,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.61,26.11,Yes
CUST-00078,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,80.55,1771.13,No
CUST-00079,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,66.64,2461.51,No
CUST-00080,Female,0,No,No,31,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,83.52,2588.77,No
CUST-00081,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,104.21,4278.05,No
CUST-00082,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,87.07,2511.58,No
CUST-00083,Male,1,Yes,Yes,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.27,331.97,No
CUST-00084,Female,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.81,589.77,No
CUST-00085,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.2,1498.99,No
CUST-00086,Male,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.01,2164.54,Yes
CUST-00087,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.85,2116.85,No
CUST-00088,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),95.81,6806.13,No
CUST-00089,Female,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,94.96,1909.84,No
CUST-00090,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.88,318.45,No
CUST-00091,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),103.94,1259.85,No
CUST-00092,Female,0,Yes,No,23,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.69,2272.47,No
CUST-00093,Female,1,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,95.54,1615.12,No
CUST-00094,Female,1,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.96,983.98,Yes
CUST-00095,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),85.97,1792.75,No
